date,frbsf_level,frbsf_wr
1980-01-04,-0.08936956524848938,
1980-01-11,-0.22216032445430756,-0.13279075920581818
1980-01-18,-0.13833804428577423,0.08382228016853333
1980-01-25,-0.2351687252521515,-0.09683068096637726
1980-02-01,-0.2619255781173706,-0.026756852865219116
1980-02-08,-0.27467483282089233,-0.012749254703521729
1980-02-15,-0.24775896966457367,0.026915863156318665
1980-02-22,-0.20819424092769623,0.03956472873687744
1980-02-29,-0.15256962180137634,0.055624619126319885
1980-03-07,-0.28346556425094604,-0.1308959424495697
1980-03-14,-0.3287951350212097,-0.04532957077026367
1980-03-21,-0.3723108768463135,-0.04351574182510376
1980-03-28,-0.4002256989479065,-0.027914822101593018
1980-04-04,-0.3375701606273651,0.06265553832054138
1980-04-11,-0.570498526096344,-0.23292836546897888
1980-04-18,-0.5412288904190063,0.029269635677337646
1980-04-25,-0.592395007610321,-0.0511661171913147
1980-05-02,-0.5946671962738037,-0.002272188663482666
1980-05-09,-0.6491045951843262,-0.05443739891052246
1980-05-16,-0.5438404083251953,0.10526418685913086
1980-05-23,-0.6171397566795349,-0.0732993483543396
1980-05-30,-0.696492075920105,-0.07935231924057007
1980-06-06,-0.674034833908081,0.022457242012023926
1980-06-13,-0.6828213334083557,-0.008786499500274658
1980-06-20,-0.6026449799537659,0.08017635345458984
1980-06-27,-0.5515607595443726,0.05108422040939331
1980-07-04,-0.5322971343994141,0.019263625144958496
1980-07-11,-0.39151522517204285,0.14078190922737122
1980-07-18,-0.4179467260837555,-0.026431500911712646
1980-07-25,-0.3857029378414154,0.03224378824234009
1980-08-01,-0.3424825370311737,0.0432204008102417
1980-08-08,-0.29833319783210754,0.04414933919906616
1980-08-15,-0.3003386855125427,-0.0020054876804351807
1980-08-22,-0.3152342140674591,-0.014895528554916382
1980-08-29,-0.21576103568077087,0.09947317838668823
1980-09-05,-0.17181549966335297,0.04394553601741791
1980-09-12,-0.13499240577220917,0.0368230938911438
1980-09-19,-0.09052567183971405,0.04446673393249512
1980-09-26,-0.19672659039497375,-0.1062009185552597
1980-10-03,-0.1257045567035675,0.07102203369140625
1980-10-10,-0.1882733702659607,-0.06256881356239319
1980-10-17,-0.10210821777582169,0.08616515249013901
1980-10-24,-0.05493440851569176,0.04717380926012993
1980-10-31,-0.06056572124361992,-0.005631312727928162
1980-11-07,-0.04081598296761513,0.01974973827600479
1980-11-14,-0.08406366407871246,-0.043247681111097336
1980-11-21,-0.1495998501777649,-0.06553618609905243
1980-11-28,-0.01943383179605007,0.13016601838171482
1980-12-05,-0.08345573395490646,-0.06402190215885639
1980-12-12,-0.12230268120765686,-0.0388469472527504
1980-12-19,-0.11419845372438431,0.008104227483272552
1980-12-26,0.017900561913847923,0.13209901563823223
1981-01-02,-0.005213129334151745,-0.023113691247999668
1981-01-09,-0.021722592413425446,-0.0165094630792737
1981-01-16,-0.02197718620300293,-0.00025459378957748413
1981-01-23,0.029102230444550514,0.051079416647553444
1981-01-30,0.021331364288926125,-0.00777086615562439
1981-02-06,0.08661328256130219,0.06528191827237606
1981-02-13,0.03972329571843147,-0.04688998684287071
1981-02-20,0.030673494562506676,-0.009049801155924797
1981-02-27,-0.019901778548955917,-0.05057527311146259
1981-03-06,-0.024425385519862175,-0.004523606970906258
1981-03-13,-0.06726749986410141,-0.042842114344239235
1981-03-20,-0.07975083589553833,-0.01248333603143692
1981-03-27,-0.04018658399581909,0.03956425189971924
1981-04-03,-0.07717078924179077,-0.03698420524597168
1981-04-10,-0.08495057374238968,-0.0077797845005989075
1981-04-17,-0.06356561183929443,0.021384961903095245
1981-04-24,-0.03371236473321915,0.029853247106075287
1981-05-01,-0.0003509757516440004,0.033361388981575146
1981-05-08,0.035594090819358826,0.035945066571002826
1981-05-15,0.035203717648983,-0.000390373170375824
1981-05-22,0.07739720493555069,0.04219348728656769
1981-05-29,0.10419583320617676,0.026798628270626068
1981-06-05,0.13514761626720428,0.030951783061027527
1981-06-12,0.154451385140419,0.01930376887321472
1981-06-19,0.08579403162002563,-0.06865735352039337
1981-06-26,0.08276145160198212,-0.003032580018043518
1981-07-03,0.09821014106273651,0.015448689460754395
1981-07-10,0.0241211149841547,-0.07408902607858181
1981-07-17,-0.00023025539121590555,-0.024351370375370607
1981-07-24,-0.012964628636837006,-0.0127343732456211
1981-07-31,0.12526622414588928,0.1382308527827263
1981-08-07,0.1086631715297699,-0.016603052616119385
1981-08-14,0.07187659293413162,-0.036786578595638275
1981-08-21,-0.003949969541281462,-0.07582656247541308
1981-08-28,0.00439663277938962,0.008346602320671082
1981-09-04,0.01859402284026146,0.01419739006087184
1981-09-11,-0.00888992939144373,-0.02748395223170519
1981-09-18,-0.054497476667165756,-0.04560754727572203
1981-09-25,-0.08892693370580673,-0.034429457038640976
1981-10-02,-0.12501631677150726,-0.03608938306570053
1981-10-09,-0.17771893739700317,-0.05270262062549591
1981-10-16,-0.18087086081504822,-0.003151923418045044
1981-10-23,-0.1942213475704193,-0.013350486755371094
1981-10-30,-0.13101480901241302,0.06320653855800629
1981-11-06,-0.1084521934390068,0.02256261557340622
1981-11-13,-0.17462632060050964,-0.06617412716150284
1981-11-20,-0.19819268584251404,-0.023566365242004395
1981-11-27,-0.1603282392024994,0.03786444664001465
1981-12-04,-0.1334524154663086,0.026875823736190796
1981-12-11,-0.1886393278837204,-0.055186912417411804
1981-12-18,-0.17471487820148468,0.013924449682235718
1981-12-25,-0.0908864215016365,0.08382845669984818
1982-01-01,-0.12341630458831787,-0.032529883086681366
1982-01-08,-0.099549300968647,0.023867003619670868
1982-01-15,-0.17614808678627014,-0.07659878581762314
1982-01-22,-0.18380025029182434,-0.007652163505554199
1982-01-29,-0.14753031730651855,0.036269932985305786
1982-02-05,-0.14222115278244019,0.005309164524078369
1982-02-12,-0.24313493072986603,-0.10091377794742584
1982-02-19,-0.25116032361984253,-0.008025392889976501
1982-02-26,-0.24554561078548431,0.005614712834358215
1982-03-05,-0.2173670083284378,0.02817860245704651
1982-03-12,-0.21350538730621338,0.0038616210222244263
1982-03-19,-0.22295740246772766,-0.009452015161514282
