week_ahead,baseline_6pct,low_growth_3pct,high_growth_10pct,stagflation_13pct,covid_surge,qt_contraction,accelerating_5_to_12,decelerating_10_to_2,hyperinflation_warn_40,deflation_warn_n10
0,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,0.0,0.0009382723878736931,0.001832888073160095,0.006470619935023325,-0.0020261637626505053
1,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-1.539290894428928e-05,0.0009626081801578451,0.0018044161453666767,0.006470619935023325,-0.0020261637626505053
2,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-3.078581788857856e-05,0.0009869439724419973,0.0017759442175732585,0.006470619935023325,-0.0020261637626505053
3,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-4.6178726832867836e-05,0.0010112797647261493,0.0017474722897798402,0.006470619935023325,-0.0020261637626505053
4,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-6.157163577715711e-05,0.0010356155570103013,0.001719000361986422,0.006470619935023325,-0.0020261637626505053
5,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-7.696454472144639e-05,0.0010599513492944533,0.0016905284341930038,0.006470619935023325,-0.0020261637626505053
6,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-9.235745366573567e-05,0.0010842871415786054,0.0016620565063995853,0.006470619935023325,-0.0020261637626505053
7,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-0.00010775036261002495,0.0011086229338627574,0.001633584578606167,0.006470619935023325,-0.0020261637626505053
8,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-0.00012314327155431423,0.0011329587261469094,0.0016051126508127489,0.006470619935023325,-0.0020261637626505053
9,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-0.0001385361804986035,0.0011572945184310614,0.0015766407230193306,0.006470619935023325,-0.0020261637626505053
10,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-0.00015392908944289279,0.0011816303107152135,0.0015481687952259124,0.006470619935023325,-0.0020261637626505053
11,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.0035061837844991266,-0.00016932199838718206,0.0012059661029993657,0.0015196968674324942,0.006470619935023325,-0.0020261637626505053
12,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.001832888073160095,-0.00018471490733147134,0.0012303018952835175,0.001491224939639076,0.006470619935023325,-0.0020261637626505053
13,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.001832888073160095,-0.00020010781627576062,0.0012546376875676698,0.0014627530118456577,0.006470619935023325,-0.0020261637626505053
14,0.0011205559254610735,0.0005684385046450852,0.001832888073160095,0.0023503390908509443,0.001832888073160095,-0.0002155007252200499,0.0012789734798518218,0.0014342810840522395,0.006470619935023325,-0.0020261637626505053
