date,sp_weekly_return,tbill_weekly_return,top1_weekly_growth,mid_weekly_growth,bot_weekly_growth,sp_4w,sp_12w,top1_4w,top1_12w,mid_4w,mid_12w,bot_4w,bot_12w
2006-06-30,0.020650824565588533,0.0009365384615384615,-0.00016326988028891876,0.00023728352438401323,0.0006957259231943347,-0.027855918969176274,-0.0388996542565101,-0.0006529195962413636,-0.0019574801550685805,0.0009494719718043942,0.002851121262435141,0.002785809247394244,0.008380731561594024
2006-07-07,-0.0037159273221277767,0.0009403846153846154,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,-0.013988309404498911,-0.01952917701900847,-0.0006529195962413636,-0.0019574801550685805,0.0009494719718043942,0.002851121262435141,0.002785809247394244,0.008380731561594024
2006-07-14,-0.023137489133592815,0.000948076923076923,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.010524579674781931,-0.01833810253349477,0.0012131669958990177,-9.382957641657086e-05,0.0014557398318713055,0.0033583509531875944,0.002772032223808507,0.008366877670769046
2006-07-21,0.003308597356558529,0.0009538461538461539,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,-0.012256969343238722,-0.05725708959760378,0.0030827381423426115,0.0017733010077565226,0.0019622637559584266,0.0038658371944424452,0.002758255389501807,0.00835302397027915
2006-07-28,0.030847631248046348,0.0009500000000000001,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,-0.0033828533045398013,-0.053654364818683686,0.004955800349817796,0.0036439180956848727,0.002469043873580379,0.0043735801159605625,0.002744478744471479,0.00833917046012167
2006-08-04,0.0006334804993983756,0.0009538461538461539,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.006573845045850124,-0.035609733729897175,0.0068323601372031195,0.005518028197737834,0.0029760803143163983,0.00488157984756632,0.002730702288715303,0.008325317140294386
2006-08-11,-0.009864303449915734,0.0009500000000000001,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.010968174208233039,-0.009200462325098968,0.0068323601372031195,0.007395637836439928,0.0029760803143163983,0.005389836519152258,0.002730702288715303,0.008311464010793967
2006-08-18,0.028072105458019525,0.0009557692307692306,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.024704772907933714,-0.00022891254018742035,0.0068323601372031195,0.009276753546497485,0.0029760803143163983,0.005898350260674645,0.002730702288715303,0.008297611071618638
2006-08-25,-0.005536422281716469,0.0009576923076923077,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.04999637811531277,0.01729472414175537,0.0068323601372031195,0.011161381874816856,0.0029760803143163983,0.006407121202157251,0.002730702288715303,0.008283758322765067
2006-09-01,0.012292616239389043,0.0009403846153846154,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.012936464245062007,0.005332936356698514,0.0068323601372031195,0.01304952938053039,0.0029760803143163983,0.00691614947368735,0.002730702288715303,0.008269905764231256
2006-09-08,-0.009221871480961319,0.0009230769230769231,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.024738951332267556,0.04688170458225227,0.0068323601372031195,0.01494120263501908,0.0029760803143163983,0.007425435205420383,0.002730702288715303,0.008256053396013874
2006-09-15,0.01596710308001703,0.0009288461538461539,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.025403835008779962,0.03785736245266591,0.0068323601372031195,0.016836408221933885,0.0029760803143163983,0.007934978527575742,0.002730702288715303,0.008242201218111367
2006-09-22,-0.003697925796355528,0.0009230769230769231,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.013330250096499796,0.06039375988725393,0.0068323601372031195,0.018735152737219263,0.0029760803143163983,0.008444779570440097,0.002730702288715303,0.008228349230519738
2006-09-29,0.016025453550835067,0.0009173076923076922,0.0017037310376024628,0.0007431911683446479,0.0006819776147408696,0.015203625999905546,0.035096897999304044,0.0068323601372031195,0.02063744278913715,0.0029760803143163983,0.008954838464364734,0.002730702288715303,0.008214497433237655
2006-10-06,0.010285578834066555,0.0009269230769230769,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.01894719768368036,0.055607355472444775,0.0068323601372031195,0.02063744278913715,0.0029760803143163983,0.008954838464364734,0.002730702288715303,0.008214497433237655
2006-10-13,0.01187770337869365,0.0009461538461538461,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.03900926936279814,0.09172465549844766,0.007575620203955191,0.02139089399302363,0.003074351858625368,0.009053695807087037,0.0027173317368256455,0.008201053759654187
2006-10-20,0.002182144725036972,0.0009538461538461539,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.0348271219458951,0.10104890961586732,0.008319428957409114,0.022144901406875306,0.0031726330315751117,0.009152562835846423,0.0027039613632207082,0.008187610265330436
2006-10-27,0.00638608095154547,0.0009576923076923077,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.04093456326519118,0.07043128803627918,0.009063786802613771,0.022899465441295508,0.0032709238341088742,0.009251439551592355,0.002690591167898271,0.008174166950263961
2006-11-03,-0.009467464326733066,0.0009538461538461539,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.031058869628063146,0.07658515319425607,0.00980869414491825,0.023654586507190656,0.0033692242671705674,0.00935032595527363,0.0026772211508558907,0.008160723814452764
2006-11-10,0.012167393529155301,0.0009557692307692306,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.010899668329166223,0.07701664062543667,0.00980869414491825,0.024410265015770483,0.0033692242671705674,0.009449222047839934,0.0026772211508558907,0.008147280857894401
2006-11-17,0.014700504307997297,0.0009538461538461539,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.011189078478280434,0.060354735958634054,0.00980869414491825,0.025166501378548256,0.0033692242671705674,0.009548127830239617,0.0026772211508558907,0.008133838080586209
2006-11-24,-0.00017841850464728193,0.0009442307692307694,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.02381994459117287,0.0819325206371686,0.00980869414491825,0.025923296007341,0.0033692242671705674,0.009647043303423475,0.0026772211508558907,0.008120395482525966
2006-12-01,-0.0030265108548869213,0.0009423076923076924,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.017141726761338294,0.06860355049640643,0.00980869414491825,0.026680649314269722,0.0033692242671705674,0.009745968468339639,0.0026772211508558907,0.008106953063710565
2006-12-08,0.009400666745441821,0.0009307692307692308,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.023755706918880515,0.07528555544894266,0.00980869414491825,0.02743856171176029,0.0033692242671705674,0.009844903325938903,0.0026772211508558907,0.008093510824138672
2006-12-15,0.012235431267521912,0.0009211538461538461,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.02095730385588901,0.06833572988870729,0.00980869414491825,0.02819703361254211,0.0033692242671705674,0.009943847877170064,0.0026772211508558907,0.00808006876380718
2006-12-22,-0.011442835732714873,0.0009346153846153846,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.018477030795487126,0.08542108491220346,0.00980869414491825,0.028956065429648792,0.0033692242671705674,0.01004280212298303,0.0026772211508558907,0.008066626882714312
2006-12-29,0.005344664585263281,0.0009403846153846154,0.0024432050667202443,0.0008412439342908584,0.0006686343808335327,0.007002433302877087,0.05607668192442761,0.00980869414491825,0.029715657576420584,0.0033692242671705674,0.01014176606432815,0.0026772211508558907,0.008053185180857403
2007-01-05,-0.006056608330319513,0.0009461538461538461,0.0019535519685514036,6.688405424104538e-05,0.0005159788201862803,0.015457817653232286,0.05091182118121984,0.00980869414491825,0.029715657576420584,0.0033692242671705674,0.01014176606432815,0.0026772211508558907,0.008053185180857403
2007-01-12,0.014910882460723363,0.0009538461538461539,0.0019535519685514036,6.688405424104538e-05,0.0005159788201862803,-9.221251061430902e-05,0.032285676819288955,0.009315443302230442,0.029212682984526728,0.0025929084659801482,0.009360210286582626,0.002524259173150245,0.007899403080710687
2007-01-19,-0.00016074344697425413,0.0009634615384615385,0.0019535519685514036,6.688405424104538e-05,0.0005159788201862803,0.0025506553445249214,0.04539676018641825,0.008822433392696727,0.02870995407544652,0.0018171933073134472,0.008579259205577783,0.0023713205303386165,0.007745644440570354
