date,sp_return,m2_growth,m2_growth_lagged
2000-04-07,0.05194697524381131,0.01834510938963141,0.01834510938963141
2000-04-14,-0.07411525373569805,0.028102795387822788,0.028102795387822788
2000-04-21,-0.0047316051218107,0.03303053565336045,0.03303053565336045
2000-04-28,0.06783761999513382,0.03199810890961463,0.03199810890961463
2000-05-05,0.005799061896796909,0.022324317328846988,0.022324317328846988
2000-05-12,0.024395846025890178,0.011459422547534182,0.011459422547534182
2000-05-19,0.04521242034106843,0.013813158851326834,0.013813158851326834
2000-05-26,0.03349435611562335,0.01186295503211987,0.01186295503211987
2000-06-02,0.04831919761058656,0.011504102487200019,0.011504102487200019
2000-06-09,0.04435620238785565,0.011642429245782182,0.011642429245782182
2000-06-16,-6.835077417277624e-06,0.009613353053032014,0.009613353053032014
2000-06-23,-0.05628951505607949,0.0038981836571283512,0.0038981836571283512
2000-06-30,-0.02934777039493852,-0.0011208391490081793,-0.0011208391490081793
2000-07-07,-0.024697432502284844,-0.003928944618599828,-0.003928944618599828
2000-07-14,0.11309482459187215,-0.0070974817389865,-0.0070974817389865
2000-07-21,0.031821978544135376,-0.01372690680152755,-0.01372690680152755
2000-07-28,-0.02240385964154401,-0.009474626741353132,-0.009474626741353132
2000-08-04,0.021149947107664824,0.004367365023102643,0.004367365023102643
2000-08-11,0.03580678293654649,0.01611882357905392,0.01611882357905392
2000-08-18,0.060250913304089826,0.014110054204542921,0.014110054204542921
2000-08-25,0.09319888667822984,0.017797435137766104,0.017797435137766104
2000-09-01,0.029453183243299152,0.015460860725177827,0.015460860725177827
2000-09-08,0.02577305335569169,0.012973153941118643,0.012973153941118643
2000-09-15,0.0009219082066167505,0.01782986292769695,0.01782986292769695
2000-09-22,0.005022608938363815,0.018785550867913337,0.018785550867913337
2000-09-29,-0.012436385345754974,0.017170198801685244,0.017170198801685244
2000-10-06,-0.047271643130431196,0.014476941798497789,0.014476941798497789
2000-10-13,-0.0899415477556712,0.01469239746582196,0.01469239746582196
2000-10-20,-0.056249461887446506,0.02028045207199658,0.02028045207199658
2000-10-27,-0.028389564105590792,0.018373696602758116,0.018373696602758116
2000-11-03,-0.024772279585588586,0.0148096798588353,0.0148096798588353
2000-11-10,-0.07192357036762664,0.013890619160334072,0.013890619160334072
2000-11-17,-0.08312552116705418,0.015494363795183208,0.015494363795183208
2000-11-24,-0.10931656342948515,0.015323838236822818,0.015323838236822818
2000-12-01,-0.13515524137295531,0.0191256830601092,0.0191256830601092
2000-12-08,-0.08337904673908503,0.016773047447893985,0.016773047447893985
2000-12-15,-0.1048294308521146,0.014659621275983303,0.014659621275983303
2000-12-22,-0.09854907947597191,0.019984342164901747,0.019984342164901747
2000-12-29,-0.08091136134005328,0.03209557905253524,0.03209557905253524
2001-01-05,-0.07852434397353902,0.03151886168100604,0.03151886168100604
2001-01-12,-0.04047533663119274,0.029205775431822456,0.029205775431822456
2001-01-19,-0.03893538871466806,0.027159531477568777,0.027159531477568777
2001-01-26,-0.01785326379577823,0.0278890219231247,0.0278890219231247
2001-02-02,-0.05412526468576018,0.021134778198679482,0.021134778198679482
2001-02-09,-0.037496867769283404,0.02260858880629102,0.02260858880629102
2001-02-16,-0.04839436640836847,0.02437176152538556,0.02437176152538556
2001-02-23,-0.07148023341078513,0.026130406290956865,0.026130406290956865
2001-03-02,-0.06162414783833181,0.026154759224771285,0.026154759224771285
2001-03-09,-0.09962111501203108,0.03250512971578323,0.03250512971578323
2001-03-16,-0.12317188744431762,0.032360688956433625,0.032360688956433625
2001-03-23,-0.12720242071154575,0.03009614607740163,0.03009614607740163
2001-03-30,-0.12114859703465342,0.02658008308796833,0.02658008308796833
2001-04-06,-0.1308737436516808,0.03119736947630103,0.03119736947630103
2001-04-13,-0.10242314954077936,0.03751671289736791,0.03751671289736791
2001-04-20,-0.07415798091450077,0.0438359994408164,0.0438359994408164
2001-04-27,-0.07520565778508526,0.039684292972907764,0.039684292972907764
2001-05-04,-0.061401874180563865,0.034948307318061866,0.034948307318061866
2001-05-11,-0.05254948835310924,0.026174026234104364,0.026174026234104364
2001-05-18,-0.007352937038682894,0.02349201271567658,0.02349201271567658
2001-05-25,0.025709172518159518,0.02065538436976122,0.02065538436976122
2001-06-01,0.021463635030176453,0.01611455694940256,0.01611455694940256
