date,sp_quarterly_return,tbill_quarterly_return,vix_quarterly_avg,top1_quarterly_growth,next9_quarterly_growth,mid_quarterly_growth,sp_1q_lag,sp_2q_lag,top1_1q_lag,next9_1q_lag,mid_1q_lag,m2_quarterly_growth,sent_m1,sent_m2,sent_m3
2014-07-01,-0.0765154826779175,5e-05,16.232939253781844,0.036139097384839,0.0252271920564484,0.01440438480428,0.0169814509408563,0.0251967497851306,0.036139097384839,0.0252271920564484,0.01440438480428,0.0129469026548671,0.0571840527467429,0.0255024910063272,0.0399125119213074
2014-10-01,0.0935116299091751,5e-05,13.525512246015388,0.0067566385395985,0.0078904035715714,0.0065361329546822,-0.0765154826779175,-0.0608333756523721,0.0067566385395985,0.0078904035715714,0.0065361329546822,0.0166691419934827,0.0973221962650617,0.0695655985825484,0.1379180377970139
2015-01-01,0.0399021086641655,5e-05,18.28731189592134,0.0255003445279673,0.0181816142654813,0.0095593091480239,0.0935116299091751,0.0098410597327582,0.0255003445279673,0.0181816142654813,0.0095593091480239,0.017298124103084,0.2088563567207705,0.2141169179831781,0.1576344059514147
2015-04-01,0.0009418581401448,7.5e-05,15.80035887883357,0.0218408246163146,0.0182134638906026,0.0138326218646223,0.0399021086641655,0.1371450497913398,0.0218408246163146,0.0182134638906026,0.0138326218646223,0.0078811325854846,0.1325860311908106,0.1463411969443162,0.128384233963105
2015-07-01,-0.1222217917249379,2.5e-05,12.520809242446912,0.0115328407167611,0.0097776647685132,0.0043149777116522,0.0009418581401448,0.0408815489301646,0.0115328407167611,0.0097776647685132,0.0043149777116522,0.015084420857016,0.0585344046354293,0.0143195719368034,0.0879019009204761
2015-10-01,0.031980008100388,-5e-05,19.25426709221821,-0.0190003866970057,-0.0112972013136063,-0.0036612508970681,-0.1222217917249379,-0.1213950491742323,-0.0190003866970057,-0.0112972013136063,-0.0036612508970681,0.0187773681996983,0.04027391889443,0.0191942812356677,0.0782359793859844
2016-01-01,-0.0192448080973123,0.00055,18.380419792984487,0.0192354382342385,0.0164515423748301,0.0152677324935395,0.031980008100388,-0.0941504375139573,0.0192354382342385,0.0164515423748301,0.0152677324935395,0.0171442447790188,0.1585876326407155,0.0750682933503412,-0.0478171610177077
2016-04-01,0.0340116636464027,0.000575,23.71728332565967,0.0138865637786245,0.014273879769665,0.0111658766945255,-0.0192448080973123,0.0121197508842332,0.0138865637786245,0.014273879769665,0.0111658766945255,0.0162106670486559,-0.0237764155064078,-0.0094200930926793,0.0373244881104197
2016-07-01,0.0865771726023414,0.000675,18.924687565204184,0.0238616564895184,0.0186436141629779,0.0122209333273801,0.0340116636464027,0.0141123076091449,0.0238616564895184,0.0186436141629779,0.0122209333273801,0.017956850307373,0.0391744317719712,-0.0218314313359798,0.1407588585730522
2016-10-01,0.0842727427086724,0.0008,14.435012277608095,0.0190583429226902,0.014266983716562,0.0164879224906866,0.0865771726023414,0.1235334699227515,0.0190583429226902,0.014266983716562,0.0164879224906866,0.0177631781395206,0.1126630538453658,0.0713513264011952,0.2058623005946477
2017-01-01,0.0212139138910174,0.001325,15.656096212296111,0.0018456168696472,0.0073178035470864,0.0118843698612147,0.0842727427086724,0.1781460111021753,0.0018456168696472,0.0073178035470864,0.0118843698612147,0.0071732541176292,0.2902019403634532,0.302503720406563,0.3112719984991209
2017-04-01,0.0212421643909868,0.00195,13.892573086295762,0.026338087272602,0.026727049459069,0.0228961004931156,0.0212139138910174,0.1072744113068715,0.026338087272602,0.026727049459069,0.0228961004931156,0.0145820512435643,0.269738273274514,0.1888252769907315,0.207692499122312
2017-07-01,0.0533433195663268,0.0026,12.824088570307252,0.0228670242881792,0.0215332381756998,0.0151481560367059,0.0212421643909868,0.0429067077282534,0.0228670242881792,0.0215332381756998,0.0151481560367059,0.0128190903106022,0.1092325329780578,0.0792721365728685,0.1411742303640611
2017-10-01,0.0299491735325725,0.0025,11.0182146654078,0.0157728329220943,0.0183986959402573,0.0176062920555903,0.0533433195663268,0.0757186115207024,0.0157728329220943,0.0183986959402573,0.0176062920555903,0.0121675114298651,0.0541039996470014,0.1555819396049745,0.2642932837208112
2018-01-01,-0.0039595678413164,0.0035499999999999,10.099009161609928,0.0295178011727195,0.0253906536098216,0.0203182684702958,0.0299491735325725,0.0848900814333948,0.0295178011727195,0.0253906536098216,0.0203182684702958,0.0008153664097902,0.26062533115187,0.2441035864814635,0.1771127911550658
2018-04-01,0.0743021181664336,0.00435,18.358495646168087,0.0042038716074108,0.0104418768043572,0.0154923286982142,-0.0039595678413164,0.0258710199068625,0.0042038716074108,0.0104418768043572,0.0154923286982142,0.0114346688199797,0.1234139410718794,0.0200946897675748,0.0453588456411155
2018-07-01,0.0325609996828386,0.004875,11.918636051488274,0.0110204236630508,0.0142963826963813,0.0094890812866543,0.0743021181664336,0.0700483460474836,0.0110204236630508,0.0142963826963813,0.0094890812866543,0.0133440732213248,-0.0690428335840503,-0.1160181176758581,-0.0319826216587135
2018-10-01,-0.2051255761405657,0.005475,10.031789187621712,0.0226253923565995,0.0214831778434654,0.0161825570377704,0.0325609996828386,0.1092824690953238,0.0226253923565995,0.0214831778434654,0.0161825570377704,0.00386187297322,0.006508344784379,0.0485173221757342,0.0559791142741839
