date,sp_next_return,sp_return,ndx_return,m2_growth,m2_3m,vix,sentiment,ndx_1m,ndx_3m,sp_1m,tbill,metabolism,yield_curve,credit_spread,sp_52wh_ratio,sp_52wl_ratio,sp_in_range,ndx_52wh_ratio,ndx_52wl_ratio,ndx_in_range
1990-05-31,-0.0088863656812216,0.0919891907988945,0.1473896027755032,-0.0146059782608696,0.0066509499594094,18.09772725538774,-0.0348814198514446,-0.0343897425889693,0.0191888677485994,-0.0268871406212716,0.0065999999999999,0.0065999999999999,0.001,0.0093999999999999,0.9360497835488489,1.040316926736605,0.36194192514263557,0.9091170237037292,1.0191888677485994,0.15848672728336363
1990-06-30,-0.0052231584117391,-0.0088863656812216,0.0097819728015551,0.0084610322459339,0.0082398646531736,16.822380837940035,0.0555879465925196,0.1473896027755032,0.1358006951018413,0.0919891907988945,0.0063999999999999,0.0084610322459339,0.0019,0.0096,1.0,1.1360148390014981,0.9999999997687861,1.0,1.1694067101192807,0.9999999997076877
1990-07-31,-0.0943141847916291,-0.0052231584117391,-0.063218199205706,0.005285740936509,-0.0010159205447815,18.39285727909633,0.034517335919513,0.0097819728015551,0.1187689222546652,-0.0088863656812216,0.00645,0.00645,0.0045,0.0095999999999999,0.9911136343187783,1.087942152735718,0.9001549130938225,1.0,1.1808458147516234,0.9999999997261775
1990-08-31,-0.0511843064564319,-0.0943141847916291,-0.1332676309767121,0.0038661388098477,0.0177109546547566,28.175217255302098,-0.1903587190374251,-0.063218199205706,0.0853678879431136,-0.0052231584117391,0.0061833333333333,0.0061833333333333,0.0079,0.01,0.9859368908026969,1.082259658529171,0.8419902569019002,0.936781800794294,1.106194868803431,0.5872122001839096
1990-09-30,-0.0066982123010423,-0.0511843064564319,-0.0855306270048759,0.0062544289367472,0.0154841116845969,29.10736836885151,-0.2575422768791516,-0.1332676309767121,-0.1801185242543999,-0.0943141847916291,0.0061583333333333,0.0062544289367472,0.008,0.0108,0.892949056690647,1.0,0.0,0.8119391094603402,1.0,0.0
1990-10-31,0.0599342145417864,-0.0066982123010423,-0.0254158322902551,0.00307200786434,0.0132479208477467,29.625652479088824,-0.2210590993204424,-0.0855306270048759,-0.2575065516615833,-0.0511843064564319,0.0059416666666666,0.0059416666666666,0.0088,0.0121,0.8472440785230111,1.0,0.0,0.7424934483384167,1.0,0.0
1990-11-30,0.024827757338752,0.0599342145417864,0.1160500130697408,0.0009187798603453,0.0102730169117339,24.88571439470564,-0.2142525146404902,-0.0254158322902551,-0.2275443878550187,-0.0066982123010423,0.0058749999999999,0.0058749999999999,0.0073,0.0131999999999999,0.8415690578142629,1.0,0.0,0.7236223593788343,1.0,0.0
1990-12-31,0.0415177499981747,0.024827757338752,0.0412815290926027,0.0050177456859625,0.0090313948300757,23.363000106811523,-0.2412531712362843,0.1160500130697408,-0.0053456789646705,0.0599342145417864,0.0058749999999999,0.0058749999999999,0.0093,0.0137999999999999,0.8920078382770321,1.0599342145417865,0.3183644543047898,0.8075987436423047,1.1160500130697408,0.3038465197907809
1991-01-31,0.0672811768127803,0.0415177499981747,0.1590535304773255,0.0047795908426691,0.0107491227906832,27.429091106761582,-0.302165346280221,0.0412815290926027,0.1325859595865925,0.024827757338752,0.0053833333333333,0.0053833333333333,0.0098,0.0141,0.914154392430039,1.0862500040154708,0.45815125253750866,0.840937654673124,1.162122264153079,0.42447462469402353
1991-02-28,0.022202832522042,0.0672811768127803,0.0761105828079389,9.089531889117096e-05,0.009913107330804,21.59842109680176,-0.2941025075103555,0.1590535304773255,0.3469619131129293,0.0415177499981747,0.005,0.005,0.0098,0.0124,0.9521080259546828,1.1313486601177014,0.6977107287004218,0.9746917575602063,1.3469619131129293,0.9084287628296979
1991-03-31,0.0003197993624997,0.022202832522042,0.0591327707706728,0.0081495395055743,0.0130601558694591,17.918499851226805,-0.19736931521085,0.0761105828079389,0.2987589734918754,0.0672811768127803,0.005075,0.0081495395055743,0.0103,0.0116,1.0,1.2074671293559827,0.999999999841446,1.0,1.4494799693400506,0.9999999998710677
