date,top1_growth,mid_growth,bot_growth
2000-04-01,-0.013281742435675814,0.011419220478662506,0.003443518528792877
2000-07-01,0.007015403227369266,0.018326201303118017,0.020517962063296702
2000-10-01,-0.03297744683351567,0.0047933701482978375,-0.036099059309312564
2001-01-01,-0.028092644133811295,0.019559932973054472,0.0033552419566373892
2001-04-01,0.03362908817819732,0.02626586756920357,-0.0012608240022646822
2001-07-01,-0.04901243353296403,-0.0041994365175067605,-0.013664453201248317
2001-10-01,0.047741294390994726,0.026752527177772212,-0.01615728271946426
2002-01-01,0.011824483690068943,0.01529797651920961,0.010637830539197646
2002-04-01,-0.020188599672082974,-0.007576117436190133,-0.02519175013078201
2002-07-01,-0.04785652290877085,-0.009479047187587852,-0.008296911461800671
2002-10-01,0.023178133597800743,0.017986036692999585,0.005934364649077262
2003-01-01,-0.0030869591986201206,0.008364560492725381,-0.0356862794301237
2003-04-01,0.062044568363749386,0.025191193474250806,-0.028534230667894067
2003-07-01,0.027605475424883785,0.011598686893934396,0.02768395490810094
2003-10-01,0.05676506839347528,0.025910783414039962,0.01492955520856487
2004-01-01,0.0756268079808271,0.03555366940835136,0.020223462073083454
2004-04-01,0.013968518634103422,0.014961131702838637,0.03482304891258603
2004-07-01,0.0306851549635756,0.017107628270477182,-0.010703955545251054
2004-10-01,0.05008801022521192,0.032746958318944586,0.029389571650527913
2005-01-01,0.012032846732378921,0.015098692054486884,0.016730339443829845
2005-04-01,0.0346136091159186,0.016456865547550104,0.011014077785731269
2005-07-01,0.031734671304325834,0.02095576557583101,0.05262668681562466
2005-10-01,0.02270931758855066,0.02104419286654524,0.04411168171043656
2006-01-01,0.05519233951279312,0.008027499095384805,-0.018865668091629262
2006-04-01,-0.002097153454959977,0.0030550835616089955,0.0027691410477346246
2006-07-01,0.022376334478563464,0.00970468478956743,-0.003670799281957793
2006-10-01,0.03259136643451588,0.011112996559466737,-0.014725836033440687
2007-01-01,0.02598200549016627,0.000879404623903568,-0.033800905225020106
2007-04-01,0.01456749888126252,-0.0004665818524544063,-0.030665681059923733
2007-07-01,0.02012470599986682,0.002644225532696165,-0.032301985802962396
