date,sp_quarterly_return,tbill_quarterly_return,hvol,top1_quarterly_growth,next9_quarterly_growth,mid_quarterly_growth,sp_1q_lag,sp_2q_lag,top1_1q_lag,next9_1q_lag,mid_1q_lag,m2_quarterly_growth,vix_quarterly_avg,sent_m1,sent_m2,sent_m3
1990-10-01,0.09565217391304337,0.017825,0.2701877961463216,-0.024923722058082243,-0.012876530196091807,0.009168071591049154,-0.1580231848688225,-0.07907907907907918,-0.024923722058082243,-0.012876530196091807,0.009168071591049154,0.0069322488215177724,27.01877961463216,-0.25754227687915165,-0.22105909932044246,-0.21425251464049022
1991-01-01,0.23842592592592582,0.01615,0.17072373992334186,0.037096912129299664,0.017006709065205294,0.01436546813606987,0.09565217391304337,-0.07748627211714476,0.037096912129299664,0.017006709065205294,0.01436546813606987,0.009974909736246262,17.072373992334185,-0.24125317123628431,-0.302165346280221,-0.29410250751035555
1991-04-01,-0.020560747663551426,0.0144,0.16100382250358858,0.03769473018376779,0.01823046091254965,0.017480294217486536,0.23842592592592582,0.3568840579710142,0.03769473018376779,0.01823046091254965,0.017480294217486536,0.010391420261754547,16.10038225035886,-0.19736931521085002,-0.12739275147517523,-0.13629361722738512
1991-07-01,0.07870772932711967,0.01395,0.17528407951189096,0.000841470697228619,-0.0009967422764476375,0.009713848179089712,-0.020560747663551426,0.2129629629629628,0.000841470697228619,-0.0009967422764476375,0.009713848179089712,0.007406074780366589,17.528407951189095,-0.016189887033154566,-0.026111212855715667,-0.01938913267616543
1991-10-01,0.08608179991377618,0.01275,0.22885485739421382,0.015714293014039926,0.007596329284923264,0.017893401393976438,0.07870772932711967,0.05652869190170229,0.015714293014039926,0.007596329284923264,0.017893401393976438,0.004553842490624405,22.885485739421384,-0.031210118035475413,-0.039702331121530265,-0.11913506612181664
1992-01-01,0.1491634349785873,0.009649999999999999,0.12801574610678346,0.04513338513739429,0.022846603907000773,0.018163192877026058,0.08608179991377618,0.1715648322485006,0.04513338513739429,0.022846603907000773,0.018163192877026058,0.0062516666172853785,12.801574610678346,-0.11412559089160734,-0.012312342765771093,0.07463333112637288
1992-04-01,0.23603267192280364,0.010025,0.12357460049921415,-0.0035351618546871633,-0.004386506614014518,0.006262046261724663,0.1491634349785873,0.24808549185664175,-0.0035351618546871633,-0.004386506614014518,0.006262046261724663,0.0005005594487959009,12.357460049921414,0.0964872726509648,0.03067571697756648,0.0032397257492712307
1992-07-01,-0.09805206664188426,0.008875,0.18759611962072245,-0.006506631390906015,0.006268056162840097,0.010739064928653619,0.23603267192280364,0.4204035510125703,-0.006506631390906015,0.006268056162840097,0.010739064928653619,0.0034788761461126416,18.759611962072245,0.03945790176900724,-0.02035011015686905,0.03488665163299189
1992-10-01,0.0012714789341679023,0.0065249999999999996,0.20197853982875516,0.008803078319027824,0.013859686767618173,0.017947173666703398,-0.09805206664188426,0.11483711400388263,0.008803078319027824,0.013859686767618173,0.017947173666703398,0.011869436201780381,20.197853982875515,-0.04535123012028634,-0.059303821094574466,0.040707405229719974
1993-01-01,0.15900515483779243,0.0077,0.329837628688485,0.04906878550320726,0.022639940118696078,0.0151437290154941,0.0012714789341679023,-0.0969052588449032,0.04906878550320726,0.022639940118696078,0.0151437290154941,-0.010886921178690612,32.9837628688485,0.2063002562330615,0.22156969289625844,0.21882499488336699
