date,sp_return,m2_growth,m2_growth_lagged
2000-04-30,0.0415717155008623,0.0358267546697728,0.0358267546697728
2000-07-31,-0.0148716956118211,-0.0087249859442352,-0.0087249859442352
2000-10-31,-0.0009993721717763,0.0148096798588353,0.0148096798588353
2001-01-31,-0.044347288068938,0.0211347781986794,0.0211347781986794
2001-04-30,-0.0853215188724145,0.0349483073180618,0.0349483073180618
2001-07-31,-0.030597203322998,0.0137697340071296,0.0137697340071296
2001-10-31,-0.1250381460284391,0.0245763858028864,0.0245763858028864
2002-01-31,0.0664476777522604,0.0198004865262404,0.0198004865262404
2002-04-30,-0.047142018694407,0.0113537602396494,0.0113537602396494
2002-07-31,-0.1534933347721394,0.0188872433400983,0.0188872433400983
2002-10-31,-0.0283670668590789,0.0182500089724724,0.0182500089724724
2003-01-31,-0.0339369549620418,0.0143630051283858,0.0143630051283858
2003-04-30,0.0715437300803885,0.0245491504221828,0.0245491504221828
2003-07-31,0.0800397155872962,0.0181784266843023,0.0181784266843023
2003-10-31,0.0609909659882359,0.002464900154889,0.002464900154889
2004-01-31,0.0765387661058789,-0.0006147098403417,-0.0006147098403417
2004-04-30,-0.0210673892053251,0.0305216610699206,0.0305216610699206
2004-07-31,-0.0050393550789648,0.0077915792869818,0.0077915792869818
2004-10-31,0.0258504712867952,0.0135738639092088,0.0135738639092088
2005-01-31,0.045186755057299,0.002968999226165,0.002968999226165
2005-04-30,-0.020672702719572,0.0183753483758208,0.0183753483758208
2005-07-31,0.0668453816458203,0.0054888985094934,0.0054888985094934
2005-10-31,-0.0220146516414825,0.013824176162138,0.013824176162138
2006-01-31,0.0605379787225219,0.0079326558471106,0.0079326558471106
2006-04-30,0.0238500955760381,0.0299008321670954,0.0299008321670954
2006-07-31,-0.0259039314146292,-0.0005698421975451,-0.0005698421975451
2006-10-31,0.0793319321628482,0.0147658659961111,0.0147658659961111
2007-01-31,0.0437610138266157,0.0140611718603678,0.0140611718603678
2007-04-30,0.0306833387907821,0.0252177248639664,0.0252177248639664
2007-07-31,-0.0182815192395978,0.0061805382334192,0.0061805382334192
2007-10-31,0.0646684011135443,0.0151498457470251,0.0151498457470251
2008-01-31,-0.1102569773175872,0.0152764964454332,0.0152764964454332
2008-04-30,0.0051067547371037,0.0268460860036883,0.0268460860036883
2008-07-31,-0.0853138113392124,0.00488008016345,0.00488008016345
2008-10-31,-0.2356278335876264,0.0233624284493252,0.0233624284493252
2009-01-31,-0.1474787046370967,0.04396244083926,0.04396244083926
2009-04-30,0.0568242267621437,0.0156492435996897,0.0156492435996897
2009-07-31,0.1313802353672721,0.0006802964660388,0.0006802964660388
2009-10-31,0.0493275427359831,0.0028863126759219,0.0028863126759219
2010-01-31,0.0363640411909427,0.0027828651618579,0.0027828651618579
2010-04-30,0.1050592220678918,0.0135080645161289,0.0135080645161289
2010-07-31,-0.0717036210144995,0.001041435074129,0.001041435074129
2010-10-31,0.0741285729751879,0.015465002104082,0.015465002104082
2011-01-31,0.0869293177346004,0.0148726272288794,0.0148726272288794
2011-04-30,0.0602509801018329,0.0262354956160748,0.0262354956160748
2011-07-31,-0.052309646321853,0.0209558335912285,0.0209558335912285
2011-10-31,-0.0301637258063632,0.0340146364699258,0.0340146364699258
2012-01-31,0.0471634748652824,0.0158301400841762,0.0158301400841762
2012-04-30,0.0651473226912968,0.0162739884154763,0.0162739884154763
2012-07-31,-0.0132984866236645,0.0138836772983113,0.0138836772983113
2012-10-31,0.0238088979855459,0.0247864444755636,0.0247864444755636
2013-01-31,0.0608641719717004,0.0174227931128723,0.0174227931128723
2013-04-30,0.0663902930425763,0.0127881654307011,0.0127881654307011
2013-07-31,0.0551838336621637,0.0108932461873638,0.0108932461873638
2013-10-31,0.0420055758716826,0.0234070464767615,0.0234070464767615
2014-01-31,0.0148302493416068,0.0124613159003095,0.0124613159003095
2014-04-30,0.0568610770255955,0.0169381166405919,0.0169381166405919
2014-07-31,0.0247990095195342,0.0119073026713618,0.0119073026713618
2014-10-31,0.0452589012590944,0.0142278387570193,0.0142278387570193
2015-01-31,-0.0114269012342587,0.0140802356814833,0.0140802356814833
2015-04-30,0.045373671033114,0.0150638697825435,0.0150638697825435
2015-07-31,0.0087892544457555,0.0083250559773735,0.0083250559773735
2015-10-31,-0.011635856075589,0.0153355539415795,0.0153355539415795
