date,m2_level,m2_growth,sp_close,sp_return,sp_next_return,tbill_wr,mich_wr,metabolism_max,metabolism_min
1991-01-04,3291.6,0.0025856707486878222,321.0,-0.02376520515864269,-0.018138557158639535,0.0012533250434627607,0.0007360151901392165,0.0025856707486878222,0.0007360151901392165
1991-01-11,3309.9,0.005544208702812258,315.2300109863281,-0.018138557158639535,0.05252496724277238,0.0011828398132462947,0.0007360151901392165,0.005544208702812258,0.0007360151901392165
1991-01-18,3300.5,-0.002844005305544657,332.2300109863281,0.05252496724277238,0.011491960177743144,0.00116472583883942,0.0007360151901392165,0.00116472583883942,-0.002844005305544657
1991-01-25,3287.4,-0.003976993356400401,336.07000732421875,0.011491960177743144,0.020556680161182186,0.0011846502917429724,0.0007360151901392165,0.0011846502917429724,-0.003976993356400401
1991-02-01,3266.9,-0.006255455761341813,343.04998779296875,0.020556680161182186,0.04642068734625465,0.0011520361043266814,0.0006431832168731777,0.0011520361043266814,-0.006255455761341813
1991-02-08,3287.9,0.006407540077179392,359.3500061035156,0.04642068734625465,0.02666236493380175,0.00113752349892704,0.0006431832168731777,0.006407540077179392,0.0006431832168731777
1991-02-15,3300.8,0.003915800228724702,369.05999755859375,0.02666236493380175,-0.009282650808405046,0.001135708668626334,0.0006431832168731777,0.003915800228724702,0.0006431832168731777
1991-02-22,3296.1,-0.0014249119420424808,365.6499938964844,-0.009282650808405046,0.013095898068127476,0.0011429669833489253,0.0006431832168731777,0.0011429669833489253,-0.0014249119420424808
1991-03-01,3290.0,-0.0018523866155274022,370.4700012207031,0.013095898068127476,0.012020243210969265,0.0011701617863810743,0.0006245640000288599,0.0011701617863810743,-0.0018523866155274022
1991-03-08,3313.9,0.007238178756728145,374.95001220703125,0.012020243210969265,-0.003633786705137704,0.0011502226152910744,0.0006245640000288599,0.007238178756728145,0.0006245640000288599
1991-03-15,3327.7,0.004155631130948644,373.5899963378906,-0.003633786705137704,-0.016490004299021692,0.0011175511314982511,0.0006245640000288599,0.004155631130948644,0.0006245640000288599
1991-03-22,3327.0,-0.00021037762861784008,367.4800109863281,-0.016490004299021692,0.020843598569101972,0.00113207850459629,0.0006245640000288599,0.00113207850459629,-0.00021037762861784008
1991-03-29,3320.0,-0.00210621410794252,375.2200012207031,0.020843598569101972,0.00037300257130921157,0.0011066485418160799,0.0006245640000288599,0.0011066485418160799,-0.00210621410794252
1991-04-05,3339.8,0.005946142027797812,375.3599853515625,0.00037300257130921157,0.013337788186167356,0.0011011949753299,0.0006059270969978048,0.005946142027797812,0.0006059270969978048
1991-04-12,3367.9,0.00837847977169106,380.3999938964844,0.013337788186167356,0.009939967480810084,0.001062977526453679,0.0006059270969978048,0.00837847977169106,0.0006059270969978048
1991-04-19,3371.0,0.0009200315240375952,384.20001220703125,0.009939967480810084,-0.013574336954531415,0.001108466060666613,0.0006059270969978048,0.001108466060666613,0.0006059270969978048
1991-04-26,3347.4,-0.007025511154523063,379.0199890136719,-0.013574336954531415,0.0046853257084100335,0.0010830054698596214,0.0006059270969978048,0.0010830054698596214,-0.007025511154523063
1991-05-03,3313.8,-0.010088357944340766,380.79998779296875,0.0046853257084100335,-0.013376882012156598,0.001055689568377094,0.0005872724738178459,0.001055689568377094,-0.010088357944340766
1991-05-10,3333.3,0.00586723712287591,375.739990234375,-0.013376882012156598,-0.008955657316527744,0.0010575118115963011,0.0005872724738178459,0.00586723712287591,0.0005872724738178459
1991-05-17,3335.1,0.0005398596496062262,372.3900146484375,-0.008955657316527744,0.013602320869849454,0.001042929126851666,0.0005872724738178459,0.001042929126851666,0.0005398596496062262
1991-05-24,3332.1,-0.0008999280664949472,377.489990234375,0.013602320869849454,0.03216665980969191,0.001042929126851666,0.0005872724738178459,0.001042929126851666,-0.0008999280664949472
1991-05-31,3318.2,-0.0041802686319290265,389.8299865722656,0.03216665980969191,-0.027040604920837888,0.0010684417197766027,0.0005872724738178459,0.0010684417197766027,-0.0041802686319290265
1991-06-07,3340.7,0.006757898640818608,379.42999267578125,-0.027040604920837888,0.0075093979532845105,0.0010739043924203884,0.0006245640000288599,0.006757898640818608,0.0006245640000288599
1991-06-14,3364.4,0.007069275238208677,382.2900085449219,0.0075093979532845105,-0.01194690409138493,0.0010793655452392414,0.0006245640000288599,0.007069275238208677,0.0006245640000288599
1991-06-21,3359.4,-0.0014872545053796046,377.75,-0.01194690409138493,-0.01759935480121083,0.0010757249455206619,0.0006245640000288599,0.0010757249455206619,-0.0014872545053796046
1991-06-28,3330.5,-0.00863994372966855,371.1600036621094,-0.01759935480121083,0.007836396036709903,0.0010684417197766027,0.0006245640000288599,0.0010684417197766027,-0.00863994372966855
1991-07-05,3346.1,0.004673045678504768,374.0799865722656,0.007836396036709903,0.01635928875105424,0.0010775453297828808,0.0005872724738178459,0.004673045678504768,0.0005872724738178459
1991-07-12,3374.8,0.008540574759732814,380.25,0.01635928875105424,0.01038637723798855,0.0010702627795800002,0.0005872724738178459,0.008540574759732814,0.0005872724738178459
1991-07-19,3366.0,-0.002610967540720402,384.2200012207031,0.01038637723798855,-0.008599696391893695,0.0010775453297828808,0.0005872724738178459,0.0010775453297828808,-0.002610967540720402
